id,price,speed,hd,ram,screen,cores,cd,laptop,trend
53,4093,37,5,32,15,30,no,no,5
54,2370,19,12,10,17,14,no,no,1
55,3530,34,3,60,15,30,no,no,4
56,3181,33,1,24,21,26,no,no,4
57,3999,35,7,20,23,16,no,no,1
58,2270,22,12,14,17,30,no,no,4
59,549,21,28,10,13,10,no,yes,1
60,2550,21,16,6,17,20,no,no,4
61,1814,16,24,6,19,4,no,no,2
62,1039,17,8,10,13,6,no,yes,1
63,1676,20,16,14,15,6,yes,no,2
64,1409,24,28,10,17,4,no,no,1
65,1028,18,28,2,12,8,yes,no,2
66,3169,38,7,20,17,28,no,no,5
67,2422,16,24,14,17,16,no,no,2
68,1310,20,24,6,17,4,no,no,2
69,516,23,8,10,13,8,yes,no,1
70,537,22,8,2,13,6,no,yes,2
71,786,17,24,6,11,4,no,yes,1
72,1727,19,28,14,23,8,no,no,1
73,2239,17,12,2,15,24,no,no,5
74,1055,24,28,2,11,6,no,yes,1
75,2818,16,24,10,19,26,no,no,4
76,4241,35,1,28,19,30,no,no,4
77,1165,16,28,14,11,4,no,yes,1
78,2577,22,28,2,15,28,no,no,5
79,1861,24,28,6,19,8,no,no,1
80,3035,30,1,56,23,30,no,no,5
81,4104,37,1,60,19,22,yes,no,4
82,3940,38,3,40,23,30,yes,no,5
83,4088,35,3,56,23,28,yes,no,4
84,1001,21,24,6,13,4,no,yes,2
85,3072,32,7,40,21,18,yes,no,4
86,3960,38,5,28,17,20,yes,no,5
87,1535,23,16,2,23,8,no,no,2
88,1173,15,8,14,11,10,no,yes,1
89,1090,16,28,6,12,8,no,yes,2
90,2902,23,28,2,19,20,no,no,4
91,2541,23,28,10,15,12,no,no,1
92,530,15,24,2,13,10,no,yes,2
93,2149,21,8,14,19,14,no,no,1
94,2181,22,24,10,23,14,no,no,2
95,3725,36,7,60,23,12,no,no,2
96,3435,36,7,36,17,14,no,no,2
97,2161,21,12,6,17,20,no,no,5
98,3324,32,5,20,19,12,yes,no,2
99,865,19,28,6,11,8,no,yes,1
100,2724,17,16,14,19,30,yes,no,4
101,2339,20,20,14,23,16,no,no,2
102,1717,18,24,10,15,8,no,no,2
103,2893,17,28,2,17,28,no,no,4
104,2066,18,8,10,15,14,no,no,1
105,4274,35,7,16,23,12,no,no,2
106,3911,34,1,44,19,14,no,no,2
107,3513,32,3,48,15,12,no,no,2
108,4179,34,5,44,17,16,no,no,2
109,2200,16,16,10,21,16,yes,no,2
110,4254,30,3,48,21,26,no,no,5
111,2503,24,12,2,15,30,no,no,4
112,511,23,12,2,11,4,no,yes,1
113,3754,31,7,28,21,30,no,no,5
114,1855,18,20,2,17,4,no,no,2
115,1093,19,16,14,11,4,no,yes,2
116,3102,39,7,32,23,16,no,no,1
117,737,24,20,14,12,8,no,yes,1
118,2705,16,12,14,19,26,no,no,5
119,2030,22,28,10,23,26,no,no,5
120,3997,34,3,32,19,22,no,no,4
121,3517,38,1,52,15,12,no,no,2
122,1856,20,20,10,21,4,yes,no,2
123,1831,16,24,14,17,8,no,no,1
124,4063,32,7,28,17,20,no,no,4
125,3758,35,1,28,23,14,no,no,2
126,2437,16,16,14,21,18,no,no,5
127,2409,24,20,2,19,16,no,no,1
128,1557,15,28,6,15,10,no,no,1
129,2583,16,8,2,23,12,no,no,1
130,1217,16,20,6,21,6,no,no,1
131,572,22,12,10,11,8,yes,no,2
132,2628,15,24,6,23,26,yes,no,4
133,694,16,20,6,12,8,no,yes,2
134,529,15,28,6,13,4,no,yes,1
135,3811,38,1,36,15,28,no,no,5
136,832,15,8,14,13,6,yes,no,1
137,3875,30,1,40,19,22,no,no,5
138,1321,22,16,6,23,10,no,no,2
139,4285,39,5,40,23,12,no,no,1
140,3424,32,1,20,19,22,yes,no,5
141,4003,37,1,44,21,26,no,no,5
142,1572,20,24,2,15,10,yes,no,2
143,2340,21,12,14,19,26,yes,no,5
144,3208,37,5,36,17,14,yes,no,1
145,865,21,12,14,13,6,no,yes,2
146,3058,39,3,24,23,18,no,no,5
147,3504,39,1,36,19,14,yes,no,1
148,2216,24,12,10,17,30,yes,no,5
149,4059,38,5,40,19,24,no,no,4
150,2059,20,12,2,19,16,no,no,2
151,645,16,12,6,13,8,no,yes,1
152,2969,22,28,6,21,28,no,no,4
153,2461,20,20,2,19,18,no,no,4
154,4337,37,5,60,19,26,no,no,5
155,2781,22,8,2,23,24,no,no,4
156,739,22,12,14,11,4,no,yes,1
157,2399,16,8,6,19,20,no,no,4
158,1701,17,8,2,19,10,no,no,1
159,1708,15,16,6,19,8,yes,no,2
160,1827,24,16,6,15,4,no,no,1
161,2277,17,20,2,23,22,no,no,4
162,1323,16,12,10,17,6,no,no,2
163,3249,34,1,48,23,12,no,no,2
164,778,15,24,2,12,10,no,yes,1
165,2949,20,16,14,19,22,no,no,5
166,3414,36,7,60,19,14,no,no,1
167,3607,33,7,16,23,16,no,no,2
168,2195,16,16,14,17,22,no,no,5
169,601,23,20,2,12,6,no,yes,2
170,3606,38,1,40,23,24,no,no,4
171,3597,35,3,36,21,14,no,no,1
172,3399,35,3,32,15,12,no,no,1
173,3183,38,5,44,23,24,no,no,4
174,1280,21,28,6,17,10,yes,no,1
175,3563,35,5,40,19,26,no,no,4
176,2943,24,8,14,21,22,no,no,4
177,1895,17,16,2,21,6,no,no,1
178,4026,30,5,56,21,20,no,no,4
179,4085,39,3,20,15,16,no,no,1
180,2969,21,28,10,19,14,no,no,1
181,2826,22,8,10,19,16,no,no,2
182,2141,23,16,10,17,14,no,no,2
183,531,22,12,14,12,10,no,yes,2
184,1053,24,12,10,13,10,no,yes,2
185,2292,23,12,10,21,30,yes,no,5
186,1170,17,12,2,12,8,no,yes,2
187,4185,33,1,24,23,30,no,no,5
188,2632,22,8,2,15,28,yes,no,5
189,4131,30,1,16,19,18,no,no,4
190,1950,21,8,14,15,6,no,no,2
191,3217,36,3,16,19,22,no,no,4
192,2115,16,24,6,19,22,no,no,5
193,780,17,28,14,13,4,yes,no,2
194,3249,39,5,52,15,18,no,no,5
195,3032,39,3,52,19,24,yes,no,4
196,2567,17,16,10,19,30,no,no,5
197,2773,21,16,6,17,30,no,no,4
198,4059,31,7,44,23,24,no,no,5
199,1942,22,12,6,23,6,no,no,2
200,3617,34,1,60,21,24,no,no,4
201,791,21,28,6,11,4,no,yes,2
202,577,19,20,2,13,6,no,yes,1
203,713,17,24,10,13,8,no,yes,2
204,1060,24,24,14,12,10,yes,no,2
205,3621,38,5,16,17,30,no,no,4
206,2085,19,12,2,21,12,no,no,1
207,1334,21,20,10,21,10,no,no,1
208,1975,15,12,2,19,10,no,no,1
209,1665,24,12,2,21,8,no,no,1
210,601,22,28,10,11,4,no,yes,2
211,2482,21,16,2,21,18,no,no,4
212,3427,37,3,60,17,26,no,no,5
213,936,22,20,14,11,4,yes,no,1
214,3418,39,5,48,17,28,no,no,4
215,769,24,16,10,12,10,no,yes,1
216,2065,22,8,6,23,22,no,no,4
217,1196,24,8,10,11,6,yes,no,2
218,3514,37,5,52,15,16,no,no,2
219,729,20,16,6,11,10,no,yes,2
220,996,15,16,2,12,8,yes,no,1
221,3149,34,7,48,17,20,no,no,4
222,646,17,28,2,13,4,no,yes,2
223,2699,21,28,10,21,30,no,no,4
224,2736,20,28,6,15,12,yes,no,2
225,3624,38,5,40,15,24,yes,no,4
226,3870,38,1,32,21,14,no,no,1
227,915,24,8,2,12,4,no,yes,1
228,691,21,24,6,11,6,no,yes,2
229,1942,23,16,6,21,4,no,no,2
230,777,16,24,10,12,4,no,yes,1
231,3927,34,3,16,21,16,no,no,2
232,3711,30,3,60,17,30,no,no,4
233,2934,21,28,10,19,18,no,no,4
234,1828,16,12,10,21,8,yes,no,2
235,3124,31,7,56,21,14,yes,no,2
236,3928,39,7,16,21,30,yes,no,4
237,1832,20,24,10,15,4,yes,no,2
238,3570,39,3,36,19,28,no,no,5
239,1567,24,28,10,23,4,no,no,2
240,3431,36,1,44,19,16,no,no,1
241,4107,31,7,20,15,30,no,no,4
242,543,22,16,10,11,10,no,yes,2
243,1529,19,12,10,23,6,no,no,1
244,1020,16,20,2,13,8,yes,no,2
245,3547,31,5,60,15,18,no,no,4
246,2652,22,20,10,23,28,yes,no,5
247,1224,20,16,2,19,8,yes,no,1
248,3738,39,7,44,17,30,no,no,5
249,3857,32,7,20,21,16,no,no,2
250,3292,35,1,24,17,14,yes,no,2
251,2747,16,24,10,19,30,no,no,5
252,2061,17,8,2,17,12,no,no,2
253,1848,16,20,14,23,10,yes,no,1
254,3052,36,1,56,23,14,yes,no,1
255,4054,34,1,60,21,14,no,no,2
256,3344,35,3,32,17,22,yes,no,5
257,1000,16,12,2,12,8,yes,no,2
258,2912,18,16,10,19,30,yes,no,4
259,1064,17,8,6,13,4,yes,no,1
260,1737,18,12,14,17,4,no,no,1
261,1575,17,28,14,19,8,no,no,1
262,1717,16,16,14,17,8,no,no,2
263,1399,23,16,14,21,6,no,no,2
264,3537,37,1,16,17,26,no,no,4
265,3118,35,5,36,23,24,no,no,4
266,1401,18,28,10,23,4,no,no,2
267,833,21,12,14,11,8,no,yes,1
268,2760,16,16,6,17,24,yes,no,4
269,3102,38,5,40,21,20,no,no,5
270,3169,32,7,32,17,14,no,no,2
271,1820,22,8,2,15,6,yes,no,2
272,3811,36,3,40,19,28,no,no,4
273,3610,37,3,16,17,14,no,no,2
274,1289,24,28,6,19,6,no,no,1
275,2472,20,16,2,19,28,yes,no,4
276,1484,22,28,2,19,8,yes,no,1
277,3569,30,7,48,21,24,no,no,5
278,2185,23,28,2,17,28,no,no,4
279,3810,33,3,52,17,14,no,no,2
280,682,17,16,6,13,10,no,yes,2
281,4145,32,1,60,17,26,no,no,5
282,2818,21,28,2,19,20,no,no,5
283,1482,22,24,14,15,10,no,no,2
284,4193,35,5,60,19,18,no,no,4
285,1945,21,12,2,21,8,no,no,2
286,3437,31,1,28,15,28,no,no,4
287,2738,20,16,6,17,22,no,no,5
288,3228,36,3,48,15,20,yes,no,4
289,2669,19,24,6,15,16,no,no,2
290,3312,36,7,32,19,22,yes,no,4
291,4096,35,5,52,15,24,yes,no,5
292,4174,38,7,36,21,20,no,no,4
293,1674,15,16,10,19,6,no,no,2
294,1322,24,12,2,23,4,no,no,2
295,1888,19,8,6,15,10,yes,no,1
296,3422,36,3,40,23,14,no,no,1
297,3053,37,3,20,21,16,no,no,1
298,3322,33,1,24,21,14,no,no,2
299,4052,37,1,36,15,16,yes,no,2
300,1908,18,16,6,23,8,yes,no,2
301,1873,23,8,10,15,8,no,no,1
302,3695,36,7,20,21,16,no,no,1
303,2616,20,20,14,23,12,yes,no,1
304,2879,23,16,10,23,26,no,no,5
305,1809,18,16,6,19,4,no,no,2
306,3236,31,5,56,17,18,yes,no,5
307,3954,31,5,20,23,14,no,no,1
308,1550,15,16,2,23,6,no,no,2
309,505,16,24,10,13,6,no,yes,2
310,527,21,8,6,13,4,no,yes,1
311,1278,19,20,14,17,4,no,no,1
312,3963,36,1,16,17,12,no,no,1
313,3450,39,7,20,17,28,no,no,5
314,4220,31,5,60,23,30,yes,no,5
315,4346,35,7,40,19,26,no,no,4
316,3173,30,7,48,19,14,no,no,1
317,2941,15,8,2,19,22,no,no,5
318,3800,38,1,44,17,30,yes,no,4
319,1285,21,20,2,19,10,no,no,1
320,2732,21,28,10,15,26,yes,no,4
321,2022,24,28,10,23,14,no,no,1
322,1672,19,8,14,17,6,yes,no,2
323,773,15,16,2,13,8,no,yes,2
324,2062,15,8,14,21,18,no,no,5
325,2347,18,20,10,21,12,no,no,2
326,3911,35,1,28,17,12,no,no,1
327,4018,33,7,60,17,18,no,no,4
328,3833,32,1,16,17,12,no,no,1
329,1130,21,28,2,12,10,no,yes,1
330,1083,18,20,2,12,6,no,yes,2
331,3756,31,5,28,15,30,yes,no,5
332,3665,38,7,16,15,22,no,no,5
333,3860,34,1,48,15,18,yes,no,4
334,1449,17,8,6,21,4,no,no,2
335,2843,17,20,6,17,22,no,no,5
336,997,17,8,2,11,4,no,yes,2
337,4269,30,5,32,21,14,no,no,1
338,2207,24,8,14,19,26,no,no,4
339,1666,19,28,2,15,10,no,no,1
340,2386,24,20,2,21,30,no,no,5
341,2215,23,20,6,15,28,no,no,5
342,2569,22,20,2,17,22,no,no,5
343,836,15,24,2,11,8,yes,no,2
344,3173,38,3,44,21,30,no,no,4
345,1309,16,8,2,21,4,no,no,1
346,4183,33,3,20,15,28,no,no,5
347,2580,22,12,6,17,24,yes,no,4
348,2216,15,24,2,21,30,yes,no,5
349,4073,39,5,48,23,12,no,no,1
350,2720,17,8,10,23,30,yes,no,4
351,4023,31,1,24,21,22,no,no,5
352,3735,34,5,40,17,22,no,no,4
353,3664,35,1,48,17,12,yes,no,1
354,3798,33,5,28,19,28,no,no,5
355,4055,33,7,28,23,14,no,no,1
356,3800,38,3,52,15,22,yes,no,4
357,2857,20,28,2,17,16,no,no,1
358,4103,36,5,52,15,16,no,no,1
359,2100,18,8,6,19,18,yes,no,4
360,2626,22,28,2,17,26,no,no,4
361,2158,21,24,10,21,30,no,no,4
362,4340,38,1,40,19,28,yes,no,5
363,612,18,16,6,11,8,yes,no,1
364,3852,37,1,36,17,16,yes,no,1
365,2956,17,20,10,19,26,yes,no,5
366,646,17,28,14,12,4,no,yes,1
367,2601,15,28,6,21,26,no,no,5
368,2689,23,20,6,17,24,no,no,5
369,560,23,16,10,12,10,yes,no,2
370,999,18,16,2,12,8,no,yes,2
371,665,20,28,14,13,10,no,yes,2
372,4145,34,3,60,15,12,no,no,1
373,535,22,20,10,12,8,no,yes,2
374,3358,30,5,16,19,28,no,no,5
375,2527,21,12,2,19,22,no,no,4
376,3424,32,7,16,23,26,yes,no,5
377,3934,32,1,48,21,22,no,no,5
378,2103,23,8,6,21,22,no,no,5
379,2323,21,12,6,23,16,no,no,2
380,1378,15,28,2,15,4,no,no,2
381,1015,24,8,14,12,6,no,yes,2
382,2138,22,20,6,17,16,no,no,2
383,2544,22,28,2,17,24,yes,no,5
384,2463,20,12,2,23,26,no,no,5
385,790,24,20,6,11,4,no,yes,2
386,694,24,16,2,11,10,no,yes,1
387,3449,36,7,24,15,12,no,no,2
388,3191,33,5,16,19,22,no,no,5
389,2182,15,28,14,19,28,no,no,4
390,610,17,12,2,11,8,no,yes,1
391,2755,16,16,2,23,18,no,no,4
392,2463,23,20,2,17,28,no,no,4
393,3603,33,7,52,23,26,no,no,5
394,509,20,8,10,13,4,no,yes,2
395,738,20,12,2,13,8,no,yes,2
396,1981,15,28,10,21,8,no,no,2
397,1345,17,28,14,21,4,no,no,2
398,1543,21,12,6,15,8,no,no,2
399,1225,19,24,10,19,4,no,no,2
400,2666,22,8,2,19,18,no,no,4
401,2099,17,16,2,17,26,no,no,4
402,2975,16,28,6,15,28,no,no,4
403,2019,16,24,14,23,22,no,no,5
404,1994,23,12,6,23,6,no,no,1
405,1906,23,20,14,19,10,no,no,2
406,1386,22,28,10,15,6,no,no,2
407,1039,23,20,2,12,10,no,yes,2
408,2911,23,16,2,21,14,no,no,1
409,2995,19,20,10,21,12,no,no,2
410,3918,38,5,44,21,22,no,no,5
411,844,18,20,14,13,4,yes,no,2
412,2525,17,24,14,21,24,no,no,5
413,2951,15,28,14,23,16,no,no,2
414,2062,18,8,2,15,12,no,no,1
415,1661,23,24,6,21,4,no,no,2
416,2365,16,28,6,19,18,no,no,4
417,4260,38,7,16,15,12,yes,no,2
418,912,15,20,14,13,10,yes,no,2
419,2300,20,24,10,21,26,yes,no,5
420,3118,39,5,48,17,30,no,no,4
421,1655,19,8,2,21,8,no,no,2
422,2793,22,20,10,15,28,no,no,4
423,1734,17,12,2,19,8,no,no,2
424,2702,22,20,2,21,12,no,no,2
425,3568,35,7,60,21,22,yes,no,5
426,3980,38,1,56,21,16,yes,no,2
427,1031,24,28,10,12,10,no,yes,2
428,1770,21,8,2,15,6,no,no,2
429,3845,38,5,36,15,12,no,no,1
430,1368,21,16,2,15,4,yes,no,2
431,3759,39,3,48,15,30,no,no,4
432,3502,36,1,56,21,28,no,no,4
433,1202,24,24,14,23,10,no,no,2
434,2479,15,12,2,23,20,no,no,4
435,3129,39,7,56,15,12,no,no,1
436,2737,19,16,2,15,18,no,no,4
437,3712,37,7,36,15,20,yes,no,5
438,3921,33,7,48,21,26,no,no,5
439,1433,21,20,10,15,6,no,no,1
440,2239,22,20,10,21,22,no,no,4
441,4316,35,7,44,23,30,yes,no,5
442,3530,35,7,40,17,18,no,no,4
443,2812,22,12,14,23,12,yes,no,1
444,617,18,16,6,11,6,no,yes,1
445,3674,31,1,16,17,18,no,no,5
446,2639,19,24,10,15,16,no,no,1
447,1673,23,28,2,23,4,no,no,1
448,3811,39,7,24,19,20,no,no,5
449,1850,23,16,10,23,4,no,no,1
450,1843,24,12,6,19,4,no,no,2
451,1594,23,20,10,23,8,no,no,2
452,2958,18,20,6,19,20,no,no,5
453,1509,17,8,2,17,6,no,no,1
454,845,15,28,2,11,6,no,yes,2
455,4127,30,1,16,17,12,no,no,2
456,4280,32,3,32,19,30,yes,no,4
457,2552,18,20,2,17,28,yes,no,4
458,4343,39,3,48,17,12,no,no,1
459,3135,30,3,20,23,20,no,no,4
460,3048,32,5,60,23,22,yes,no,4
461,3858,30,3,44,23,12,no,no,2
462,517,17,12,2,12,6,no,yes,1
463,4305,39,5,48,19,24,no,no,4
464,2837,19,28,6,21,16,no,no,1
465,722,21,24,14,12,6,no,yes,2
466,3302,30,7,20,15,18,no,no,4
467,2001,23,12,14,17,20,no,no,5
468,848,15,24,10,13,6,yes,no,2
469,1966,21,20,6,19,8,no,no,1
470,3011,32,3,24,19,22,no,no,4
471,3273,37,1,44,21,14,no,no,2
472,3900,39,7,52,21,22,yes,no,4
473,2265,22,28,10,21,26,no,no,4
474,2362,22,16,6,17,30,no,no,4
475,858,20,16,6,12,8,no,yes,2
476,2101,17,20,10,19,22,no,no,5
477,603,22,28,14,13,6,no,yes,1
478,2642,22,20,14,17,14,no,no,1
479,877,22,12,10,11,8,no,yes,1
480,2610,23,24,14,21,26,no,no,4
481,3045,37,5,48,21,22,no,no,5
482,3127,38,1,56,23,12,no,no,1
483,3698,31,1,36,23,22,no,no,4
484,4257,37,5,32,17,20,no,no,5
485,1866,17,24,6,17,8,no,no,1
486,1253,23,24,6,21,8,no,no,2
487,3340,32,7,16,23,24,yes,no,4
488,818,15,24,2,13,6,no,yes,1
489,1639,16,28,6,19,6,no,no,2
490,2137,22,16,10,17,20,no,no,4
491,1016,15,24,14,11,10,yes,no,1
492,3025,32,7,16,21,18,no,no,4
493,2182,15,24,6,21,22,no,no,4
494,3164,34,5,56,19,14,yes,no,1
495,3176,33,7,32,15,20,yes,no,4
496,1661,20,24,14,21,10,no,no,2
497,3093,38,5,28,21,12,no,no,2
498,2017,22,20,10,21,14,no,no,2
499,2517,23,20,10,21,26,no,no,5
500,2113,15,20,6,23,30,no,no,4
501,2034,23,28,14,23,12,no,no,1
502,2138,16,20,6,21,14,no,no,1
503,3442,30,1,36,15,26,no,no,4
504,754,22,28,14,13,6,no,yes,1
505,2305,17,12,14,15,14,no,no,2
506,3824,39,3,40,19,18,yes,no,4
507,1345,15,8,14,19,10,no,no,1
508,1322,16,8,10,15,10,no,no,2
509,2084,18,8,2,21,18,yes,no,4
510,1975,15,24,2,21,4,no,no,1
511,2977,15,12,2,21,26,no,no,5
512,2782,17,28,10,15,14,no,no,1
513,2117,23,8,2,23,30,no,no,4
514,3822,39,3,56,23,16,no,no,1
515,1303,19,20,14,23,6,no,no,1
516,506,21,28,6,11,8,no,yes,1
517,1164,22,8,2,12,8,yes,no,2
518,901,15,28,2,12,6,no,yes,2
519,1455,23,16,2,15,6,no,no,1
520,878,19,24,2,13,4,no,yes,2
521,1758,24,28,6,21,8,no,no,1
522,2560,16,12,2,15,26,yes,no,5
523,4062,30,3,28,19,12,no,no,1
524,4269,30,3,24,17,30,no,no,4
525,1145,22,8,10,11,4,no,yes,2
526,4211,32,3,28,17,26,no,no,4
527,1636,16,8,6,21,10,yes,no,1
528,2059,15,16,6,15,28,no,no,5
529,2093,24,16,6,19,30,no,no,4
530,2985,23,20,6,23,18,no,no,5
531,2860,24,24,2,15,20,yes,no,4
532,3206,31,5,16,15,16,no,no,1
533,3391,36,7,32,23,26,no,no,5
534,2217,20,16,10,23,28,no,no,5
535,1584,23,28,10,21,4,yes,no,1
536,3601,37,5,32,15,12,no,no,1
537,2303,16,28,2,15,26,no,no,4
538,787,21,20,6,11,6,no,yes,2
539,3516,37,7,28,15,28,yes,no,4
540,2273,17,16,10,21,20,no,no,4
541,3486,30,5,24,17,24,no,no,5
542,1050,22,20,14,13,4,no,yes,2
543,3323,38,1,24,21,24,no,no,5
544,1792,17,8,6,17,8,yes,no,2
545,1365,23,28,6,15,4,no,no,1
546,1880,17,24,6,23,10,yes,no,1
547,646,16,28,10,13,4,no,yes,2
548,1094,16,8,10,11,8,no,yes,1
549,2315,21,20,6,21,14,no,no,1
550,1922,22,20,6,17,4,no,no,2
551,2532,24,20,2,23,16,yes,no,1
552,2375,22,28,10,21,16,no,no,1
553,3145,39,7,20,17,20,no,no,5
554,4086,38,1,48,21,18,no,no,5
555,3956,34,7,60,19,26,yes,no,5
556,1062,16,16,14,12,10,no,yes,2
557,3530,35,5,20,21,22,no,no,5
558,843,24,16,10,11,6,no,yes,1
559,3497,39,7,20,15,30,no,no,4
560,741,17,8,6,13,6,no,yes,2
561,2533,23,12,2,15,28,no,no,4
562,3557,36,5,36,17,30,no,no,4
563,1573,17,12,10,15,8,no,no,1
564,1006,18,16,10,13,10,no,yes,2
565,1616,22,24,10,15,4,yes,no,1
566,3194,30,1,28,17,26,no,no,5
567,3867,31,7,48,19,18,no,no,5
568,3452,36,1,24,23,20,yes,no,5
569,3517,30,5,60,21,26,no,no,5
570,1367,21,8,2,23,6,no,no,1
571,2345,24,12,6,19,14,no,no,2
572,807,15,28,14,12,10,no,yes,2
573,1630,23,12,14,23,8,no,no,1
574,3660,30,5,52,23,18,yes,no,5
575,544,15,24,2,12,6,yes,no,1
576,2375,23,8,2,21,14,no,no,2
577,2377,21,20,14,19,24,no,no,5
578,2911,15,20,2,17,20,no,no,5
579,4113,37,1,20,23,12,no,no,1
580,1988,20,28,6,23,8,yes,no,2
581,4161,34,7,16,21,16,no,no,1
582,2553,24,16,14,17,24,no,no,5
583,1670,22,16,10,19,4,no,no,2
584,717,19,20,2,13,10,no,yes,1
585,4110,35,3,44,23,28,no,no,4
586,4119,31,7,60,23,18,no,no,4
587,3494,39,3,32,21,24,no,no,4
588,2505,18,16,14,15,18,no,no,4
589,4046,38,1,56,23,12,no,no,2
590,1790,18,20,14,19,10,no,no,1
591,4311,38,1,56,19,12,no,no,1
592,2563,24,8,2,23,20,no,no,5
593,3514,37,5,28,17,18,no,no,4
594,2686,19,8,10,15,26,no,no,4
595,4030,38,3,24,23,20,no,no,4
596,1698,20,12,6,23,6,no,no,1
597,3948,34,3,44,19,22,yes,no,5
598,2929,24,24,14,17,22,no,no,4
599,2652,19,8,6,17,24,yes,no,5
600,3213,38,3,20,19,24,no,no,5
601,1066,17,8,6,13,8,no,yes,2
602,2186,17,8,6,17,20,no,no,5
603,1646,22,28,6,21,4,no,no,2
604,2339,16,24,10,19,24,no,no,4
605,2239,15,24,2,17,14,no,no,1
606,981,22,20,14,11,4,no,yes,2
607,3465,33,1,28,19,30,no,no,4
608,1959,22,16,2,15,4,no,no,2
609,3962,31,7,56,23,30,no,no,4
610,2123,18,24,10,21,30,no,no,5
611,1397,16,12,2,19,4,no,no,1
612,1696,24,12,6,19,6,yes,no,1
613,2957,18,16,2,17,24,no,no,5
614,3049,38,5,36,21,16,no,no,2
615,2198,24,28,2,15,12,no,no,1
616,1870,20,24,6,15,4,no,no,1
617,4064,34,3,48,19,18,yes,no,5
618,1298,20,28,10,19,4,no,no,1
619,818,20,12,6,11,10,no,yes,2
620,1983,23,20,6,23,8,no,no,1
621,4080,36,5,16,17,20,yes,no,5
622,2521,21,8,2,23,30,no,no,4
623,1966,19,8,14,19,10,no,no,2
624,2554,18,20,10,19,28,no,no,5
625,3806,32,7,52,15,30,no,no,4
626,2314,22,24,14,21,28,no,no,4
627,2101,17,16,14,21,18,no,no,4
628,2731,15,20,6,17,20,no,no,4
629,604,22,20,14,13,8,yes,no,2
630,4271,33,3,28,15,20,no,no,5
631,1539,19,8,10,17,8,no,no,1
632,3804,39,3,56,19,26,yes,no,4
633,3956,30,3,40,17,14,yes,no,1
634,4056,38,3,56,15,30,yes,no,4
635,1242,24,12,14,17,10,no,no,1
636,3930,32,3,20,17,16,no,no,2
637,4348,31,1,32,21,18,yes,no,5
638,1042,15,8,10,11,10,no,yes,2
639,3874,32,5,36,21,30,no,no,5
640,610,18,12,14,11,6,no,yes,2
641,3252,31,5,60,15,26,yes,no,5
642,2880,16,12,2,15,16,yes,no,2
643,1929,24,28,6,15,6,no,no,1
644,3793,39,1,48,17,26,no,no,5
645,3682,34,5,36,21,18,no,no,4
646,1640,23,20,10,17,6,yes,no,1
647,3471,37,5,28,23,18,no,no,4
648,1043,15,8,10,11,10,no,yes,2
649,2555,16,8,2,15,16,no,no,2
650,4029,34,7,52,15,14,no,no,2
651,1157,18,8,10,11,8,no,yes,2
652,1813,16,28,10,17,6,no,no,2
653,1256,23,20,2,23,4,yes,no,2
654,786,20,28,14,11,8,no,yes,2
655,2690,15,28,6,15,12,no,no,1
656,1308,15,20,14,17,4,yes,no,2
