structureId,sequence
25,CDADBAADDBADBDCBABBDCCBCCBDBCCBBDDDCCCDCDACBBACAABBABDDBBDDCBCAAAABABDCAACAACABCAADADDBBBABAABBBCDBBACABACCCDBACDDCDAACCABCBACDCBCCBADDBCBDCAAADAACCACCDADDAADADBCA
26,BABBACCACDDBBAABDDDDCCBACCCACABCDDDDDABABBDDACCCDBDCDBDBABABADCCBABBBAAAADAABADCCCDDDCABDCCCACCDDDADCBDABCDACBDAADADDDCABBCADDADCDBCAABBADDCDACBADABC
27,B
28,CCCCCDBADAADCBABAACBCDBBAAAACBDBDCACADDDAADABDDADCBDCBDCBCBDCACCBDACDBCDBCAACBAAABCDADDCBADBADCAADBADDCAAAADBCBCCDDBADDDADCBADBCCBBBBDDDABCCBBBAABD
29,DDBACABBABDAADBCCBCACABADDBDCBDBDBCACDDDABCCDDBACBDBABCBDDDBBBDBBBBDBBADBCDDDBDBBADBDBCAACADCDACDBCADBADDCBDACBDCCDCBDBBCCADCAD
30,BACCADBABCDCACBCACDBADBDCCAACACABDDDAAABDADBBDDABAAAABBACDCDDCDDDBCDBCDDCCCBCBCCBDDADDCBBDDDDAACAACAACADABBBBCBCBBBBBCDABCBDAAACDDCDCDDADDACBBDDDCBBBCDDDCCDA
31,BADACCBDCABACCAAADAAABABDBCCAABCDADBACCABBDDADACCBABACBABDBCCCCCBABCACACCAC
32,DDAADBDCDBCACDCCCBDDADDBBBACADADAADADDAADADDDCAACABBACBDCBCCCCACDDBBCCBACABDCDACBBCADACCADBBCCBCCABBADABABCDBBCABCAAABAADACBA
33,ADADDAAABDADDCBDCDDDBCADADADDBDACDCBCACAC
34,CBCBBCBDDDCDDDDBDDDDDBDDCDDDBDDDABBAABAACCBBCCCBBACACDDDDBAADDDADDBBDBDBCAACBCCCCADACDBADCDACCDDADABCABABCDABCCDBADCCADDCCABBBCBBCCABADAACADACCABBAAACCABBDBBBACB
35,DABBBACBAADCBBCBCCBBCACCCCCCCAAACBCBACCBBDABDDDDBBCBBDAABABDABAADADDBBADAABACAACDBBDABADCDDDCACDCCDBCADDBDABDCDDABBDBACAABCCCDCACBBBA
36,BCBABAADACCBBAAAA
37,DBCAABDACAAACDCBCCBDBADCCCCAADABDADDCACBADDCBCDABCDCAAACBABABADCACABCBD
38,CCBDACCDCCADCABCBDCBAABAACDDBCCBDDBACDCDDABBDDDBDDDADDDBACDDBDDBCBACBBCDDBADDCDCDCADDDCCDCDCB
39,ABCCBBBCDBBDCAACDCAAABDDCCCAACBDDCABADCCDDBABAAADDADBBAADBBCDDADBCACCADBDAAADADCBBCCBADCCADABADBBBD
40,CBDCDDDBDABAABCBBABBBACADDCBAAABBBCCAACBDDBABACACBDAACABBCCCBCDCDADDDCDCBDDDADADABDAAABCBBBCCBACBADBCCBADBACDBCCCCDBCCB
41,DDACDDAACBDBCBCDBCCDCAADCCCCACDCBCCCCDBBCDCCDCACDABCDCADCCCADAB
42,DACBCDABABDBBBDBCBDBBDACDADBDDCDBBCCBABCDCAADAAABABDC
43,BCACADDCAACCDCABBBCADDCAB
44,AADBBBCDADBBDACADCBCBDDACDDCBBADAADAABDCCAABADAACBBBACABCDADCCBBADADBBCAABACDBCCCDCAD
45,BACDBBCDDBADAAADDCAABCDBAACADCBAACCCDCDABABAAADCCAADBBABADCBDCDDCCC
46,DBBDDACACCAACADADCCCDAACBBABADDCADBADBCDDADAAADBCCCBADBDBABDDDCBCACCADACCAABBBAADCDCDAACDABBDDBCDACABDBCBABCABDCBBBDDDADDCCDCBBCDADCAADBBDCDACDBCDCDDDB
47,CBCDBBADBBBACCBBBDDAADBDCBDBDABBAADBABDCBCBBDCBCBCBDBDBCCCDBACADDADABDCBDDCBDDBCCAABDCACDBDCDBADCCD
48,CCADACACABDDBDCCDBCADBDDDCCACCABCBBCABADBACDCCCADCBDAABABAADDCCDBBDDBCDACDCABDBCAADDADADBACACAADDCBDADACDCAADBDBCCCCBDDDABBDCBBCDACAACDBDDBDCBACCDDAACDDCCBCCBBDAABDBDCDDCCBDBD
49,AABABCAAACDDADACCCBCBDAAADBCDACADCAAACBDDACADBDDDACADCDBACDABCDABBADBCDBDACDCCCDDBCBCBAAAADBABADCCDBDBCCDCA
50,CDDADBCBCADCBBACABDCACCDDBBBCBBBAAAABCDCACABDDAABDBACCDCCCADC
51,CABCBAACBDAABACDADADCBCCABBAACDCCBBCBDDCADBCAACCDDCDBBDDCABADDABCABBDCCBCCAAADCCCADBDBAADBDDDAADDCBAAADCABADCCDBDAACBBABACBBCBACDBBDBAAABDCBCDACADCDCBCBCDABAABCCDCCBBBDBCCABCADADDBADCBDDDDAABADBDBAAABCCDDDACACBDDCDDDACABAABDDBBADADDDCDBDDBADDCACCA
52,ACBCABDADDAAADADCADADDCDDDDDBCABBADBCADAABBCDCADDCC
53,DCBDBCBCADCADBBDADAAACDCBBDBBBDABABCBBADDADDBDABBAADBDCDBBCDBADDCABBDCBCBBABDBDDDDBABBDBBCDCBBCAD
54,CCCCDDCCBACBBDBABBCCCBAABBBCBCBBBBCAADAACBAAAACDCBDCCCAAC
55,ACBCDDBDCCADDACABCABCABCCADDABABBAABBCDBBDABACCACCDDBAACDDBABDDCCDDDCBACCCCBABDCDDADDACCDAADBBBACCCCBBABBDACBAADACBBABCADDDADCBDAAAAAAADAACACCDBDDADDBC
56,ADDBABDBADACDDDCBBADBDADBABACCABAACCDBBCADCDADBDDDDACDDDACACCBABBACDABBBCAADBADDDDBCDCBBACBCDACDCBDBCDACADBBDBDCDBDBDDCBDBADAADAABCCDACCBCDCAACDBCBBBCBCCADCBBCBCABDCCDCABBDDACABACCBAADBABCDDAABBBACBCDDACCACCBDADCAACDB
57,BCACCBDCBCABCCAADACBAADAADBCDCBBBADDCBBDDAABCABADDCCCCADB
58,DBDBBBBDBCDDBDDBBABBCCCABBBADDBCAAAADBDABCBCCBDDBDBCABCDCBCCBCADCDADCDDABCD
59,DACCCCDCBCBBBDADBCAACDCBBCBBBDBDCCADCABDACCCCBBBBDABDACBADBCBBBBACCADDCAADADCAADCACBACCDDBCCBCDBACBDBCCADDACCDDBDCACDCDADBABBBABCCDBAAACACDBBADBBDBDDAACBDBDDADAADACCDBCCBDDDABABAAADBDCDCDDC
60,CBCABCDBDDDDAADDBAAABCCDBADABBCDDDDBDCCADDCDDCCCDADBABADBAADBCCBDABCCCCDCCDCBACCDDAAABADACDDDCDBACAABDBBDCDDDBADDACCB
61,ABDDCDBADBADDDAACABBCBABBABACCCADCBCBACCDACCCBCDCDBDADBDBBBDBADDBDABACAADDABACBDBACCCBBCDBDDABDABAABBBDDAABDBDBBACADABCBBDCDDDADDAADDDDDBDCCACBCCCBDACDACBCADDBADDCADADDDDDABBDCBBDACDCDBBCBBBCCCBDCBDAADDDCDBACCCBDCDABCDCDBAAADDBCADDBBCADBBDDBCCBD
62,DACDBADACDDCBABDCDCDDBCDADDBAACADBADBDDABBACDADACDBDCBDCBDAAAAADDBAAADCDDCADDDCBACAACBABCBDBDBCDAABCBBBDCDCACACDDBBADDADDCDDBCADABBBBCBCDBCCCBCBBDACCCBCABBBADDAADADDCBAB
63,CDBDDACCCCBDBBDDBABBAABBBDBCDCDDADDCCCBACCCBBAACCBADCBCBBABCBAACCABBBACBDBDDAADBACDDBBCADDAADBBDDCCADADACADCADCCACBBDAABBDCBCABAACCACBCBCDCBDDABCACAADCDCAACCCBDDAC
64,DBBBABABBAACADABBBCADACCBCDADCCACDABBDDDCCAAACDBADABBCDAADDBDDDBBCCCDDDCCDCBDDAABDCADCADBDDCCCADDACBBAABACCDBDBAABABB
65,CCDCACDCCABAAABCCDDCCBBDDCBADBABCACDBADBBBBADBDDDCCADBBCCACBCADBBCCABCDBBBCABBDDCDBCDABADACAAABCBCABABDADDCABBACCBCBABCDDACBCACDBBDADAABAABDBDDCADCABDADDCDCBCABDDBABBACC
66,BDBCDCBBAACDBACBABAADBDACBDBCBDBDAACCBBAAACCBBABBBDBADB
67,DADDBBDDDBAADCABDCBDCDBDBCCABDDDBDADBCDCBACACCCBDDCDBCABBACCBBCBBDCABDBBDBBBBACADAACCCCADCADCBBBDDBADCDCDBCCADCCACACACDCAABBCBABCBDBADAADCDACBADBDDCABCCBBCABDCCC
68,CBCCDACADBCDDCBBDBDCACCCAAADBCACCACACBABACABDABDBDBBDBCCCCADDDAABDACDDDDDDBDBCDADDDDAABAAAACDDCDACBAAABDDADADADBCCCCBABCAABADBABC
69,DBDBBABCDDDCCAACBBBACDCABBBBCDBBCBBCCAADBDCADCCDBDDBACABDCCDDCBCBBCBBBDCAAADADDDCBDDDDCCCCCCCDCDADABCCBBBDBBDCABDBABAAACBCABBACADADBADACCCBBDCDBABDBAAABCBABACDCDBCCCCDBDDDACBBDCDADDDADDDDCCCA
70,CDCBCDCCCCACCCBACCCDCBBBCBCBBCBDBDBBDABDCABCBCDADACDACBADBDBADACDACBADDCCBAABABDCDBCBDBAADCDCACAADABCBBCBADADDBABCDACBDBDCBAADDABBBCBBDBDBCDBCAAAABBBBB
71,ACADDDCAADAABBCDCCACBBBBDCCAACDBDBBCCCACBDCDDCDBACCDBADBDCACDBBADACCACBACABBCBADBABCBBDBBCDDAADAACDDACDCCDDDADDBADDCBDAABCDCDCCAADBDBDBAABCDCBACCCACBCDBDCCDC
72,BABDBBBBADAADBDDCDACDCBCDCBDDDABBDACCBDDBACAACBACDBACDBBAACCDABABDADDDCDCBACADACABDCDCDBDADDADCBBADBCBDBDDDCDCBDADBADDBBDDBADBCBBABABDDDDAAAABCDDDDAAAABBDCCBBDCCAAADDDBCBCCB
73,BDBCABADCDABCBBDCCCCBBAABCCCCBBDDDDDBBBCCACDCCBCDABABCACCCDBDDAABDABCCBCADA
74,ABDBBACAABBBCBABDDBDACBDBBBDDBACCDBBAACBCBABCABBBCDDCAB
75,DACDCABAC
76,BCADDCADCBDACACAAAACDABCAADBCCDCCACCDCBBBDBDACDADDBCACBCBDAAABAACAABDDCBABBCCCDACADACCCBBADADBACDCBCCDBBDCDBBBDCCBCACDCDABBCCADDCADABDBCACCAAACCCACCCDADAABBDCCAACACBDDADACBCCDDABBDBBBADCBBAABBDCD
77,DADDACBDCDABABAAAAAAAAACBADCAADDCBCBBBDDBBAACADBDDCABBBABACBCDAABBCAADCDCABDBADACACABACADABBBDBACCBADDDCADADDADADADCDAADDADCBDDDCBACBBBDDDDBCDCCDDABDCBDBADDDCBBDABBCDCCBDCDBAACBBBBCDCDDDDCDBBBDDAADCBAADBBADAADCCAAABCB
78,AADCBABDAADDCAACDDCDDADDCADADBCDCADBADABADBCADBABCCABAADAACCCABCDCDDDDCDCADBABBDACCDCBDDDACCDDCDACCDAABACDCCCBDABADCDBD
79,BACDDCBDC
80,ACCAABCDABCABBBAABADCDBDAABBCABACCBDCABADBCBCDCADBBAADAACDBAAADDCBBCDDCBBBAADCCCBDCDCCBADADBABBACBBBADCBBCBCDCDDCDBBDABACACCDCCABBCCCABDABBCBACBCBABDBDDDBDACDDDAADDADADDDADC
81,DDCABADBADCAADBADCDDDDBCADCDCDABCDABBADACBBBCBADBBDBACCCABCBDADABABBCCDBDBABDACBCBCADBBABCDACBCBBDADDDCADADADAAAACBBBCBDACBBBAABADCCCDCABDCDDBDACCBDDDBACBABCBAABACABBAADBACCBC
82,B
83,CBCDDDBBCDDABAAACADCCADDBCBACAABCBDCBACCBBAACCDCAAADABBCDABACACCCACDDDBADCADBDBDCABBACDCDCDCBCBDAABABBBBCBAAABCCCCBBABDDBADACDCDBBDBDDDDDDDDBCB
84,CADCCCBDCADDBDAADCABBADAABBDDABAADDDCBCBBCCBADACAAABDCBCBABDBDDDABAADCCCCBBAACDCBBDBCDAADBDACBBDADCDCCDABBABACCADDBABADCADBCDBCADDAABBBACBCDBCCACABCDDADBABBAABCCBDBACCCBBACCDBDCBCCBDACBDDCC
85,BCDCCCADBADAABD
86,BDDADDDBADCACACADACCBBDBBCCDBCABADDDDAACCBAAADBDADBBCCCADBCBBABCCBCAABDBDBDDBDDAADBDCCBDAADCAAADBDDBBCBBDBCBBBDCDCADDDABCBBABBBACBBDAABCABBCCDDDDCAABABABCADADDCDBBABDBABCA
87,DABDBDCCDABABBCAACCCABBAABBCBADAAADDABBBACBACADABCACBACCCDBCCABBADAABCDCCDCCCDABADCDDAABCBDBCDDDABACCCBDBADDBDCAADDDDCABCACBADDCBDABADCADDBCDCACACBCCDDBBBCDACACADBBCCBDBDCDADCCBCADBBDDCAA
88,ABCABBBACDDABBCADBABDBACDDDBBAAADCBBCACADADCDBCBADDDABBBADACCADCACBABDAADBBBCCABAACAADCBBDBDBCDAABCCACDBABDBDDBACDCAADDCADDAACCBBDAAAABACABDADCDDDABAABBDCCADABDCDCCDBBACDCCBBAADABBACBBBABBCBDDDBDBBCDDBBDACDABAABAACCADABADAADABBBABBCACCBCBDDADCBCDAAABABD
89,CABAAABDDDDBCCABBADBDDCABBDDDDDCCCDCCCDAB
90,DABCAADBBBBDCDACBADBCBDDDDDCCADDCDDBDDADDADCABCDDCBCBACDCBBBDADBCBDABCDBBDACADDDABDACABABCCDACADADADBDCBDDDCACACADACDABCDACAABABDACDBCABCDDACADDCDDBAADAADABDAABADC
91,ADAAACDCAAADCBBADCDACCBBBCDDBCBCBBABCCCDDDCADACABBCDBBCDDCCAABDDBCCBBACAACCBBBCDADBBCDBDAABDBCBBADDAABDDACACBDBACDCDDCBCDABAADCCACABCCABDDACADBBBBAACBB
92,CCCBDBCDDCDDCCAABDCCBDBACCCCBDBDBABCBDDDADCBABDABCAADAABBACABBBACDADCDDCCCCBABDCADDDADAACCBBCADCDDCCCBACDBCABDDADCACDABCACCCABCDDDBCDDDACDDDBBAAACDBADBDADDCCDDADDDDAACABBCCCACDCBB
93,DDABCBBCAACBBBBDCDAACCDABDABCADAACDCDBACDABABBDDCBAADDCDABACDBBDBBCBAAABDBBBBCADCCABC
94,BCDDAAAADAACCCDADBACBDCABCBDDDCBABCACCBCCDCABCCDCBCDDDDCBDDCCACBDBADCCDDBABBAADCDBADDAACDADDCCBABBDCDADBDAABDBBDACDCCCBDCCDDCDBCAABBCDBCBDBDCCBDBCACBBCAA
95,CCADABABDABDACBADDCDAACAAACCAADCDADDBCDABCDDDABBBADCBDCCACADDDADCDBBCADCCDCBCCACCDCABBABBBBCCCCDDCADBBBCBCBBDCBBDBACAACACBCAADCDCCBCCADABDDADAAACDCACDBABDADADCCCDDBCDBBBBDBACDCBCCABBDBDDDACAADDDDDBDBCCCBABDBBABDDDDDAC
96,BCBDADBBBACDCCBDBCDDAABACDDCACDCCAABDBDAABCADADCCCCAABCACBBDBADDDABCADBACDBADBDABDBADADBDBABCBCBCCA
97,BDA
98,CDDDACDABCBBADCACCAAAAADDAABDCCDBCCCBCDDDACCCACCCCCDACBBCBBCBCADDDDBCCACDDBBBCABDDCDDDBCCBBCBBABBBCACBABBCACDCABADBADAABDDADADBACDBBDCACBDDADDBABAABBDC
99,CBBBCCAACBDDDDAADAADDDBCBBBCCACCACBCBCDBACBCCDBCCACBBCBADADBDDACDDCBDDABADBCCCBAAAAACBACDDADCCDACDADDCBCDDDCBDDCBBACABABDBACADABCDDCBDBDDBAAAAADCADBCCCBBBBBB
100,DCCDBCCCCBBCCDADBADBCADDBADBDDDADACBABDABCBBDADDDBCADBDCDACBCDBAB
101,ABBADAD
102,BABDCDCBCACBBDBCDACCCBBBAADCCCBAABCAAADBCCDCDACDCCCDACBDCACAAADADABADCBCAACABADAADDDDBBCAAADDDAADCBABDCCCBCBDBBCDCCCDAA
103,ABCBBDACDABBDBCDBCBDBBABADDABAADABBCBBDACBCAABCABBBADCABDAAACDACDDDADCCAACBBDBABCDADCBDCCABCADADADBBBABDDDCCABBCABABABCADCDCBCACBCDDBDACBBACBACBAACACCAACBCDCCACDCADDCDBCBCBBDDBCDDCCDCBACABADCBDDCCDBADBDAACCCDBAAACDADDCBBABACCDBCCCC
104,ABADDCCCBACBDCAABCDCBDDABCACCADBBDBCDCCCCACBBCBCDDAACACCADCABBABBDABDBABCCCDCBBAABDADDCDBABCACACAABCBDDBDACCABCDAAACB
105,CCAABDABDDDCDADCBABBBDCBDABCCCCCDADCDCBABDCCDCCDCABBCABCBBBDDCADBCDAAABDABCCAAA
106,CADAADCBADBDDBABAACABCADADDBBBAACADCDBBBBBCCDAC
107,BCDBAABDBABBCACDDCBDACACADABBACDCBDCACCABABDCCBBBCAADBBDBDDCCDDBCACDCBBBCDABCCBBADBCBBDAAAAABBDDACDBDAABADADAADABBDCABCBACDCCCACADAABCACBCAACDDDDDBACBDBABAADCCCBAAADCBBACAABCBCDBBDBABBBCBDD
108,DBBCDDDDCBCBCABBDADBABBADADADCCCADCACBADABBDBCDAAACCCAAAABBDBADDDACACCCBCACCBCAACCCABBDBAACADACDCCCDDCCDBACBDBBAACCABBBCABBBCDCDCDCBDDDCAACBDDDBBCDBBACADABBBCBBCACBDCCDCABACDBBBBCBABDABAACCCADBABCACBDB
109,CBBCCBBDAADCCDAACDABCCDBABABABDCADBBACBCBACDCDBCCBBAAADCDBDAACDBDABDBDABDBDDDDBAACD
110,CBABCDBAABCADBBCDBBACDABACABBABBDCABABBABCBDDABACAACBBCBACDCBABAABABDBBBBBABBCBDDCBDABCDBBAABBCBCCADCACBCBCCDAABCACABCCDDACDDBDBAAACCCCAAABDDBCDB
111,BDADBBABBABDBDBABBCDCDCCCBAACABCCBBAABDDADC
112,CBBACBADDCBDACACDCCBACBBBDDCDCDDBCDACCDCCAAABDDABCCCBCCBCACBDCCACBDBCBAABDDABDABAACACDBCDCBBACADDCACACCDDDDABCBACCCCBCDDCBDCBAADBDCBDADDCACDBCCCDABCABCDAABABBDBDDCBCBCCDCADCDDCCABABBDDADCAABADCCCACDBDCDDDCDCAABCDBDCBBAABCACBABCDDABCC
113,BCCAACACCCAABDDBABCABDACAAADDDBCACBABCABBCDAADADADCACDCABDCADBBABDAAACACDBADDBDCABDDBBCBBBCCDCDBBCAABDDDAADCCAABAADBCACCBDDCCBDBBAAABCACACBDBCCCACBACCDDAAABDDBBABCCDDDADABBADDAABCACBCAAAAABBBBACBDADCBDACBDCBCADACCAABACADBCA
114,DCCDABCCDBBADBACABDCDBADCACACDCBDCBCAADCACBCDADBCACAACBDDBDCB
115,BDDDCCAADBBBDBCDDBAACADBAADDAACCACCBAAACBBBDDCBBABAADBCCCDCAAAACBAADCBBDBACCCDBCCDAADDABDBDCCBDCCAACBDBCADCBDAACBBBDBAAADCDCAABCAABACDBCDDABCDDDACCCCCDCDCACCDADDADCDDCBCDCDCADAAADCBABCCCDBBAAACBCABADDDDABCABDCBDDCABBBDAABAAADCAACDCDDCC
116,BDCCDDBBBABADACAACCBBDCBABBCB
117,ACACBCBDACCACBCBBCBBDBDDAABACDADCCDBDBCADBABBDABDAAABCCDCBDCACCCACBDADDBDDBCBADDDDCCCDCDBBDBBAAADDDBABABDACCDDBBABADDDBCDAABDCCACCDCBBCACCDDBAADDDBDAAD
118,BABBACADBADBAAABDABCBCDCCBDDADBABAADBACCCDACADBCABBADCBBDCABCCDCDBAABDCADDCAAABCBCCAACBBADBCBBCADADDABADBBABC
119,AACDADDCCCDACACAAACBCBBBBCDCCDDBCABDDCBACBACCAADCDAAADDBCBCBDBADCDBCBDDBDCDDCCCCAABBCAACBACCAAABBBDBA
120,BBBABDDDBBADABDDACDCBCBABADCADBCBBADBACADCADADADBCBCCBDABDADABDBCBBCADCAAACDCCDCCBBDACCACBABCDADCACBDABBDBCDACADABBDDDAAADDDBCDBBADBACBDCCCABABBBDDBABADCADCCCCDBCABDABBDBBDBDCACCCCCBCBBADDACABADBBBCCDA
121,BDDDAADDCBAABAABADCBAAACDAACADCDABBCACCDBCACBCDADDDCACCACDDACDBCBACAABDBDBCDACABBCADBABCCAAAADBBCBBCCABCACBDDCBACBADABABBDCBBACDADCCDCDBDDCCAACBACCAABABACB
122,DBACCBBABBDCAABABCDBCBACAAABBDCADCDBADBADBBAAAAABCAADBBBCCAABCBAABAABAADAAABDDBCADCCDAACBADACABDBCDDABBDABADCDBDDDAAAACDDBDCBDDBACDBCBDCAABDCCBDCCAACBD
123,ADDBACBBAAADBBCACADDABCCDDCADACDCAAABBCDDDDDBACBBACADDCABADCDAADBBACDCBABDDBCBDDCDACAAA
124,DCDBBACCBADAABDCBCBACBDADCAACDADABBDCDDDBCDABACCBDBCBBADDDCCBAAABDBBCCCBDDBDBBDBBBBDABACCBCBBCAADCDDAACCDDDDCACABACCABBADDBABDCAAACCBADACACCBCADADABCACCCDBCCCACBAACACDBCDDAABDDCCCCCABBCADBDDCAABCCCDBDBDC
125,DDACCDCDCAACBBADABCCBABCACDCDABDACCCBDDDBDDBAACBB
126,BABDCCBBBACBD
127,DAACBBCABBBCDDCADCADCBDBDABAABADCADDC
128,CBBCAACBBCCAAACDDDBBCACACABAACDCACDCDDDCACACBCDCADDDBCAABDAACCDCBBDBBDCBABDDDBABADDDDDDDCBBADDADDAACBDBCAACCBACACACDABBACBBADCBBCDBDBBADCBACCBCBB
129,BCDBDBBAAAACBBDDCDADBCB
130,D
131,ABADCBBBDCDBBCACADBCDDABCBCDBBBBDACDCDDCADCDAACDBADAAABBBBCDC
132,CBBBBBDADBCDDABADACDBDBDADDCADDDDDDDAACCBBCDBAABADDDABCDDAACCCABCAAADCCBDCBCDAADACADDCCDBDABDAACBBDCBCBCDDCBABDBABCCCACCDCDCCDABDDDACCDCBBCDAACCCCBCD
133,DABCDCCCBCCADAAABDBCCDAADDDDADCBCDBDBBADBDAACBADADCDDDBBAAADDDBCAACDBABCBCCCDADDBCCCBADDBAADBCABABDCCADBABCDDBBDCBADBCBDBCACBABAACBBCBBBCCAACAACCBCBDBCDCBCABAAABCDDA
134,BBADAADCBDBDBADBDCCBABCCCBAADBDDACAAADCBABCABADBDCCADCABABA
135,BDBCBCCCDDCDACBCBDABCCDBACCADBDDBDBBBDCABBAACCDBCCDDBCDACCAACDDACBDADDCADBBCCBBDCDAACACCDADBBCCCBCADCCDBACABCCBBACDADBACDAADCBBABCACCCDCCACCACCABDCBBDCABADBCCACDCDDCDBAACBCADADBDACCCAADCBACBBCACDACADBCBCDCDCCBADCDAACACACC
136,ADBADDABBDBDDCDDADCCDDBCDBCCAABBCCAACCBDACBBBBCBACACDDABBACBDCAACBABDBCBDAACCABCBCAACAABCCABADB
